rank,lender,type,hq,priority_tier,does_non_owner_occupied_office,typical_loan_range,best_published_phone,phone_type,sms_deliverable,contact_url,why_they_fit,confidence
1,Washington Trust Bank,Independent commercial bank,"Spokane, WA",1,Yes - conventional and bridge CRE,$1M-$25M+,(509) 353-5640,Office landline,No,https://www.watrust.com/commercial/lending/business-loans,"Largest independent bank in the Inland Northwest and Spokane-headquartered. True portfolio lender - holds CRE on its own books, so it can underwrite an Eastern WA office story a national lender would auto-decline. Should be your first call.",Phone verified via search; CRE program verified
2,Banner Bank,Regional commercial bank,"Walla Walla, WA",1,Yes - conventional CRE,$1M-$20M,(509) 483-4340,Office landline,No,https://commercial.bannerbank.com/spokane--north-idaho.html,"Dedicated Commercial Lending Center in downtown Spokane (802 W Riverside Ave) with a named Spokane/North Idaho commercial banker roster and published direct dials. One of the most active CRE lenders in Eastern WA.",Phone and named bankers verified via search
3,STCU (Spokane Teachers Credit Union),Credit union,"Spokane, WA",1,Yes - explicitly finances non-owner-occupied,$500K-$10M,(509) 344-2200,Office landline,No,https://stcu.org/business/loans/commercial-real-estate,"Explicitly advertises financing for owner- AND non-owner-occupied commercial property. Credit unions are not subject to the same CRE concentration pressure as banks right now, which matters a lot for office in 2026.",Phone and non-owner-occupied program verified via search
4,Gesa Credit Union,Credit union,"Richland, WA",1,Yes - office named explicitly,$1M-$15M,See loan officer directory,Direct dials published per officer,Unlikely - desk lines,https://www.gesa.com/contents/commercial-banking-contact-a-loan-officer/,"Explicitly lists office among non-owner-occupied property types it finances, and publishes named commercial loan officers by market including a Spokane/Coeur d'Alene team. Best source of a named human with a direct number.",Program and LO directory verified via search
5,Numerica Credit Union,Credit union,"Spokane Valley, WA",1,Yes - commercial banking team,$500K-$10M,(800) 433-1837,Main line,No,https://www.numericacu.com/business/commercial-banking-team,"Spokane Valley headquartered with a dedicated commercial banking team page. Local decisioning and roughly $3.6B in assets - large enough for a $1M-$5M office note.",Phone and commercial team verified via search
6,Columbia Bank (Columbia Banking System),Regional commercial bank,"Tacoma, WA",2,Yes,$1M-$50M,Verify at branch level,Office landline,No,https://www.columbiabank.com/,"Post-Umpqua merger this is the dominant Pacific Northwest regional bank with statewide CRE capacity. Deeper balance sheet than the community banks but more conservative on office.",Institution active in WA CRE; contact needs verification
7,Mountain West Bank (Glacier Bancorp),Community bank,"Coeur d'Alene, ID",2,Yes,$1M-$10M,Verify at branch level,Office landline,No,https://www.mountainwestbank.com/,"Coeur d'Alene based and competes actively for Spokane-market CRE. Glacier's multi-bank model keeps credit decisions local.",Institution active in Spokane market; contact needs verification
8,First Interstate Bank,Regional commercial bank,"Billings, MT",2,Yes,$1M-$20M,Verify at branch level,Office landline,No,https://www.firstinterstatebank.com/,"Meaningful Spokane and Eastern WA branch presence following its Great Western acquisition. Real CRE appetite in secondary Northwest markets.",Institution active in Spokane market; contact needs verification
9,Idaho Central Credit Union,Credit union,"Chubbuck, ID",2,Yes,$1M-$15M,Verify commercial team,Office landline,No,https://www.iccu.com/business/,"Very large and fast-growing credit union that has pushed into the Spokane commercial market. Aggressive on rate when the credit fits.",Institution active in market; program needs verification
10,Wheatland Bank (Glacier Bancorp),Community bank,"Spokane, WA",2,Yes,$500K-$5M,Verify at branch level,Office landline,No,https://www.wheatland.bank/,"Eastern Washington community bank focused squarely on the Inland Northwest. Small enough that a $1M-$5M note is a meaningful relationship.",Institution active in Eastern WA; contact needs verification
11,Baker Boyer Bank,Community bank,"Walla Walla, WA",3,Yes,$500K-$5M,Verify commercial team,Office landline,No,https://www.bakerboyer.com/,"Oldest bank in Washington, Eastern WA focused, relationship-driven underwriting. Worth a call if the property story needs explaining.",Institution active in Eastern WA; contact needs verification
